city,state_abbr,zip,status,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,ev_connector_types
Colma,CA,94014,E,Private,,37.675806,-122.461273,47599,P,,,J1772
North Bend,OR,97459,E,Public,,43.3946676,-124.2195544,53982,P,,,J1772
Jacksonville,FL,32256,E,Private,,30.1725503,-81.5452976,46580,P,,,J1772
Carlsbad,CA,92008,E,Private,,33.133926,-117.334292,72347,P,,,J1772
Providence,RI,2903,E,Public,ChargePoint Network,41.819064,-71.408276,52821,,,,J1772
Santa Rosa,CA,95404,E,Public,ChargePoint Network,38.4394132,-122.7112405,48143,,,,NEMA520 J1772
Spartanburg,SC,29306,E,Public,,34.9520415,-81.9315933,36710,LG,,,J1772
Chatsworth,CA,91311,E,Public,,34.2533868,-118.5988554,50424,P,,,J1772
Nottingham,MD,21236,E,Public,ChargePoint Network,39.4131829,-76.4629937,68996,,,,J1772
New York,NY,10119,E,Public,ChargePoint Network,40.75147,-73.9927795,56001,,,,NEMA520 J1772
Washington,DC,20006,E,Public - Call ahead,Tesla,38.9005107,-77.0369492,72248,P,,,TESLA
Las Vegas,NV,89109,E,Public,ChargePoint Network,36.1147874,-115.1733979,62226,,,,J1772
Ukiah,CA,95482,E,Public,Tesla,39.1469019,-123.197782,74800,P,,,TESLA
Basalt,CO,81621,E,Public,,39.36902,-107.03572,63729,LG,,,J1772
Orlando,FL,32801,E,Public,ChargePoint Network,28.544092,-81.380449,45006,,,,NEMA520 J1772
Braintree,MA,2184,E,Public,ChargePoint Network,42.205989,-71.000792,48059,,,,J1772
San Rafael,CA,94903,E,Public - Card key at all times,eVgo Network,38.00407028,-122.5546341,69487,,,,CHADEMO
Seattle,WA,98101,E,Public,SemaCharge Network,47.6098122,-122.3413016,65034,,,,J1772
Redmond,OR,97756,E,Public - Call ahead,Tesla,44.2596433,-121.2626815,73750,P,,,TESLA J1772
Lenexa,KS,66219,E,Public,ChargePoint Network,38.9258984,-94.7782879,74334,,,,J1772
La Jolla,CA,92037,E,Public,Blink Network,32.9015358,-117.2437714,47614,,,,J1772
Placerville,CA,95667,E,Public,,38.69494,-120.906682,68151,LG,,,J1772
Glen Burnie,MD,21061,E,Public,,39.139263,-76.62242,69897,P,,,NEMA520
Ellensburg,WA,98926,E,Public,Blink Network,46.980381,-120.544372,74068,,,,J1772
Oxford,AL,36203,E,Private,,33.6148266,-85.7999231,46695,P,,,J1772
Glen Mills,PA,19342,E,Private,,39.8658371,-75.5442656,47744,P,,,J1772
South Burlington,VT,5403,E,Public,ChargePoint Network,44.4388342,-73.2109058,61730,,,,CHADEMO
Placerville,CA,95667,E,Public,,38.72799,-120.828,25522,P,,,J1772
Bristol,CT,6010,E,Public - Call ahead,,41.6992932,-72.8956037,46547,P,,,J1772 CHADEMO
Saugus,MA,1906,E,Public - Card key at all times,eVgo Network,42.46118927,-71.02526855,69474,,,,CHADEMO
Baltimore,MD,21201,E,Public,ChargePoint Network,39.2863138,-76.6251238,43195,,,,NEMA520 J1772
Houston,TX,77061,E,Public,Tesla,29.6492185,-95.2688903,75172,P,,,TESLA
St. Joseph,MI,49085,E,Public,Tesla,42.056717,-86.456695,53692,P,,,TESLA
Woodland,CA,91367,E,Public - Card key at all times,eVgo Network,34.17429733,-118.5970154,72622,,,,J1772
Notre Dame,IN,46556,E,Private,,41.695566,-86.232058,67986,P,,,J1772
Fort Washington,PA,19034,E,Public,ChargePoint Network,40.134012,-75.2074839,60455,,,,J1772
Honolulu,HI,96813,E,Public,,21.30905,-157.86036,66918,P,,,J1772
Zionsville,IN,46077,E,Public,,39.9416571,-86.2372927,52372,P,,,J1772
Sutherlin,OR,97479,E,Public - Call ahead,Tesla,43.3877797,-123.3344516,67257,P,,,TESLA
Sylmar,CA,91342,E,Public,,34.3257084,-118.4457761,63738,LG,,,J1772
Omaha,NE,68144,E,Private,GE WattStation,41.236426,-96.09555,72761,,,,J1772
Indianapolis,IN,46240,E,Public - Card key at all times,eVgo Network,39.91423035,-86.10706329,69477,,,,CHADEMO
Lutherville,MD,21093,E,Public - Card key at all times,SemaCharge Network,39.4306377,-76.6208506,42725,,,,J1772
Culver City,CA,90232,E,Public - Card key at all times,eVgo Network,34.02523422,-118.3946228,70480,,,,J1772COMBO
Westerly,RI,2891,E,Public,Tesla,41.33052,-71.7503909,71315,P,,,TESLA
Pearland,TX,77584,E,Public,Blink Network,29.583886,-95.387923,48237,,,,J1772
Moab,UT,84532,E,Public,Tesla,38.698485,-109.397054,71344,P,,,TESLA
New York,NY,10016,E,Private,Blink Network,40.745096,-73.971921,67177,,,,J1772
Stamford,CT,6614,E,Public - Card key at all times,eVgo Network,41.20277023,-73.11752319,71253,,,,CHADEMO
Chicago,IL,60611,E,Public,ChargePoint Network,41.8914805,-87.6206514,65015,,,,J1772
South Burlington,VT,5403,E,Public - Call ahead,,44.428788,-73.210218,70948,P,,,J1772
Forest,VA,24551,E,Public - Call ahead,,37.386097,-79.244054,47555,P,,,J1772
Honolulu,HI,96815,E,Public,,21.2731229,-157.822788,41988,P,,,J1772
Dallas,TX,75201,E,Public,ChargePoint Network,32.7762538,-96.7969118,67826,,,,J1772
Pittsburgh,PA,15206,E,Public,,40.484469,-79.922492,64338,P,,,J1772
Okemos,MI,48864,E,Public,ChargePoint Network,42.727346,-84.421766,57993,,,,J1772
Woodland,CA,95776,E,Public,,38.668736,-121.7287,35839,P,,,NEMA520 J1772
Albany,NY,12222,E,Public,ChargePoint Network,42.6883686,-73.8230666,53436,,,,J1772
Everett,MA,2149,E,Private,,42.4046157,-71.0697944,72012,P,,,J1772
